,stim1,stim2,choice,Reward
600,0,3,0,0
601,2,1,0,1
602,3,2,1,1
603,3,2,0,1
604,3,1,0,1
605,0,2,1,1
606,0,2,0,0
607,3,0,0,1
608,2,0,0,1
609,3,0,0,1
610,2,1,0,1
611,3,1,0,1
612,2,0,0,1
613,1,3,1,1
614,0,1,0,0
615,1,3,1,1
616,1,3,0,0
617,2,3,0,1
618,2,1,0,1
619,3,1,0,1
620,1,0,1,0
621,1,2,1,1
622,3,0,1,0
623,0,3,1,1
624,3,0,0,1
625,0,2,1,0
626,0,2,1,0
627,3,0,1,0
628,0,1,0,0
629,3,1,0,1
630,1,2,1,1
631,1,2,0,1
632,1,2,1,1
633,0,1,1,0
634,0,2,1,1
635,2,3,0,1
636,1,2,1,1
637,2,0,0,1
638,0,3,0,0
639,1,0,1,0
640,1,2,0,0
641,1,0,0,0
642,1,3,0,0
643,2,0,0,1
644,2,3,0,1
645,0,1,1,1
646,0,2,0,0
647,2,0,0,0
648,2,0,1,1
649,3,0,1,0
650,3,1,0,0
651,3,1,0,0
652,3,1,0,1
653,1,3,1,1
654,3,2,0,1
655,1,3,1,1
656,3,1,1,0
657,2,0,1,0
658,2,3,1,1
659,2,0,0,0
660,0,1,1,0
661,0,2,1,1
662,2,3,0,1
663,3,1,0,1
664,1,3,1,0
665,0,1,0,0
666,3,0,1,0
667,0,1,1,1
668,1,3,1,1
669,2,1,0,0
670,3,1,1,0
671,2,1,0,1
672,3,0,1,0
673,3,2,1,1
674,2,1,0,1
675,1,3,1,1
676,2,1,0,0
677,0,3,1,1
678,1,0,1,0
679,1,0,0,0
680,3,2,0,1
681,1,0,0,0
682,1,3,1,1
683,3,0,0,1
684,0,1,0,0
685,2,3,1,1
686,2,1,0,0
687,2,1,1,0
688,3,1,0,1
689,1,2,1,0
690,3,0,0,0
691,0,2,1,1
692,0,2,0,1
693,3,1,0,1
694,2,1,0,1
695,3,0,0,1
696,0,2,1,1
697,1,0,0,1
698,2,3,0,0
699,2,3,1,1
700,1,2,0,0
701,1,3,1,1
702,1,2,0,0
703,1,0,1,0
704,2,3,0,1
705,0,3,1,1
706,1,0,1,0
707,3,1,1,0
708,2,1,0,0
709,1,0,0,1
710,2,3,1,1
711,3,0,1,0
712,1,0,0,0
713,1,2,1,1
714,3,0,1,0
715,3,1,1,0
716,3,1,0,1
717,2,3,1,1
718,1,2,0,0
719,1,3,1,1
720,1,0,1,0
721,3,1,0,1
722,0,3,1,1
723,2,1,1,1
724,3,2,0,1
725,2,1,1,0
726,0,2,1,0
727,3,1,0,1
728,1,2,1,1
729,1,0,0,0
730,2,1,0,1
731,3,1,0,1
732,0,2,1,1
733,0,2,1,0
734,1,3,1,1
735,2,1,0,0
736,3,1,0,1
737,2,3,1,0
738,3,2,0,1
739,2,1,0,0
740,2,0,1,1
741,0,2,1,1
742,1,2,0,1
743,2,3,1,1
744,3,0,1,1
745,3,2,1,1
746,2,3,1,1
747,2,1,1,0
748,3,0,0,0
749,2,3,1,0
750,0,1,0,0
751,3,1,1,1
752,0,2,0,0
753,2,0,0,0
754,1,2,1,1
755,0,1,0,0
756,0,2,1,0
757,0,1,1,0
758,2,1,1,1
759,2,3,0,1
760,3,2,1,1
761,1,3,0,1
762,1,0,0,1
763,1,0,0,1
764,0,3,0,0
765,2,1,1,1
766,3,1,0,1
767,3,2,1,0
768,0,2,0,0
769,0,2,1,1
770,0,3,1,1
771,1,3,0,0
772,0,3,1,1
773,3,0,1,0
774,2,1,0,0
775,1,2,0,1
776,3,2,1,1
777,0,3,1,1
778,1,2,1,0
779,2,3,0,1
780,1,2,0,1
781,0,3,1,1
782,2,1,0,1
783,2,3,1,1
784,3,2,1,1
785,0,2,1,1
786,1,0,0,0
787,2,1,0,0
788,1,0,1,0
789,3,1,0,1
790,2,3,0,1
791,1,2,0,1
792,1,0,0,0
793,1,3,1,1
794,0,1,1,0
795,2,3,1,1
796,0,1,0,0
797,1,2,1,0
798,3,0,0,1
799,0,2,1,1
800,1,2,0,0
801,0,2,1,0
802,1,0,1,0
803,1,3,1,0
804,3,1,0,0
805,0,2,1,0
806,2,3,1,1
807,1,0,1,0
808,2,0,1,0
809,0,3,1,1
810,3,2,0,1
811,1,0,0,0
812,3,2,1,1
813,2,0,0,1
814,0,1,1,1
815,1,2,1,0
816,1,3,1,1
817,2,3,0,0
818,3,1,1,0
819,0,3,1,1
820,1,2,1,1
821,1,2,0,1
822,3,2,0,1
823,3,0,1,1
824,1,3,0,1
825,2,0,0,0
826,2,3,1,0
827,1,0,0,1
828,1,3,0,1
829,1,3,0,1
830,0,3,0,0
831,3,0,0,1
832,3,1,1,0
833,3,1,1,0
834,2,3,0,1
835,2,3,0,0
836,0,3,1,0
837,0,1,0,0
838,0,2,1,1
839,2,3,1,1
840,3,0,0,0
841,0,1,0,0
842,0,2,1,1
843,3,2,0,0
844,1,3,0,0
845,1,3,1,0
846,2,0,1,0
847,0,3,1,1
848,2,3,1,1
849,3,2,1,0
850,2,0,0,0
851,2,0,0,1
852,3,1,0,1
853,3,0,0,1
854,3,2,1,0
855,3,1,1,0
856,0,1,1,0
857,1,3,1,0
858,0,3,1,1
859,0,2,1,0
860,0,2,0,0
861,0,2,1,0
862,2,3,0,1
863,1,3,0,0
864,0,1,1,0
865,3,0,0,0
866,2,1,0,1
867,1,0,0,0
868,3,0,1,0
869,2,1,1,0
870,0,1,0,0
871,0,1,0,0
872,2,1,1,0
873,2,0,1,0
874,2,1,1,1
875,3,2,0,1
876,0,2,0,0
877,2,1,0,1
878,2,0,0,1
879,2,1,0,1
880,3,0,1,0
881,0,2,1,1
882,2,3,0,1
883,0,2,0,0
884,3,1,1,1
885,0,1,1,0
886,3,1,1,0
887,1,0,0,1
888,0,3,1,1
889,2,3,0,1
890,2,0,0,1
891,3,1,0,1
892,0,2,0,0
893,0,2,0,0
894,3,1,0,0
895,2,0,0,0
896,0,2,1,1
897,1,2,1,0
898,2,1,0,0
899,2,0,1,0
900,1,0,1,0
901,2,3,0,1
902,2,3,1,0
903,1,0,0,1
904,1,3,0,1
905,3,1,0,0
906,0,3,0,1
907,0,2,1,0
908,0,1,0,0
909,1,0,1,1
910,2,3,0,1
911,3,0,1,0
912,2,3,0,0
913,3,2,1,0
914,0,3,0,0
915,3,2,0,1
916,2,1,1,1
917,0,3,1,1
918,3,2,1,0
919,0,3,0,0
920,3,2,0,1
921,1,3,0,0
922,0,3,1,1
923,2,1,0,1
924,0,3,1,1
925,0,2,1,0
926,2,1,1,1
927,2,3,1,1
928,2,3,1,1
929,1,3,0,0
930,2,3,0,0
931,2,0,1,0
932,1,0,1,0
933,3,1,1,1
934,1,2,0,0
935,1,0,0,0
936,1,0,1,0
937,2,0,0,1
938,1,2,1,1
939,1,3,1,1
940,0,2,0,0
941,0,2,1,1
942,3,1,0,1
943,3,0,0,1
944,2,0,0,1
945,1,3,1,1
946,3,0,0,1
947,0,2,1,1
948,1,2,1,0
949,0,2,0,0
950,0,1,0,0
951,0,2,1,1
952,0,1,0,0
953,2,0,1,0
954,2,3,0,1
955,0,3,0,0
956,1,3,0,1
957,2,0,0,0
958,3,2,1,1
959,0,1,0,1
960,0,2,1,1
961,3,1,0,1
962,0,3,0,0
963,0,1,1,0
964,1,2,0,0
965,1,2,1,0
966,0,1,0,0
967,0,1,0,0
968,1,0,0,1
969,3,1,0,1
970,3,1,0,1
971,3,2,1,0
972,2,0,1,0
973,2,1,1,0
974,0,2,1,1
975,2,0,1,0
976,1,0,0,1
977,1,0,0,1
978,1,2,1,0
979,3,1,0,1
980,1,0,0,0
981,1,2,0,0
982,1,0,0,1
983,0,2,1,0
984,1,0,0,0
985,3,1,0,1
986,3,2,0,1
987,0,3,1,1
988,2,1,0,1
989,1,3,1,1
990,0,3,1,1
991,0,3,1,1
992,3,0,0,1
993,2,0,0,0
994,0,1,0,0
995,3,2,0,1
996,0,3,1,1
997,2,1,1,0
998,3,1,0,1
999,0,3,1,1
1000,2,3,1,1
1001,0,3,0,0
1002,1,2,0,0
1003,2,0,0,1
1004,1,3,1,1
1005,0,3,0,0
1006,3,2,1,1
1007,0,2,0,1
1008,2,1,0,1
1009,3,0,1,0
1010,3,0,0,1
1011,1,2,1,1
1012,2,3,0,0
1013,3,0,0,1
1014,2,1,1,1
1015,0,2,1,1
1016,3,2,0,1
1017,1,2,0,1
1018,1,2,0,0
1019,1,0,1,0
1020,2,1,0,1
1021,1,2,1,1
1022,0,3,1,1
1023,3,2,1,0
1024,1,0,0,0
1025,1,3,0,0
1026,0,3,1,1
1027,0,1,1,1
1028,1,0,1,0
1029,2,1,1,0
1030,0,2,1,1
1031,1,2,1,1
1032,3,2,1,0
1033,3,0,0,1
1034,2,0,1,0
1035,2,1,0,0
1036,2,0,1,0
1037,0,3,1,0
1038,1,0,1,0
1039,3,1,1,0
1040,3,2,0,1
1041,3,1,1,0
1042,3,2,0,1
1043,3,0,0,1
1044,0,3,0,0
1045,0,1,1,0
1046,1,3,1,0
1047,1,0,1,0
1048,3,1,1,0
1049,3,1,0,0
1050,1,3,1,1
1051,1,0,0,1
1052,2,3,1,0
1053,1,3,0,0
1054,1,0,1,0
1055,2,1,1,0
1056,3,1,0,1
1057,1,3,0,0
1058,3,1,0,1
1059,3,2,0,0
1060,3,1,0,0
1061,1,2,1,0
1062,3,1,0,1
1063,3,1,0,1
1064,0,1,1,0
1065,0,3,0,0
1066,1,2,1,1
1067,3,0,0,1
1068,0,2,1,1
1069,2,3,0,0
1070,2,3,0,0
1071,0,1,0,0
1072,1,2,1,1
1073,0,3,1,0
1074,1,0,0,0
1075,2,1,1,1
1076,3,2,0,1
1077,2,1,1,0
1078,1,3,1,1
1079,0,1,1,0
1080,1,0,0,0
1081,1,3,1,1
1082,3,2,0,1
1083,2,3,0,1
1084,2,3,0,0
1085,1,0,1,0
1086,3,2,0,1
1087,1,3,1,1
1088,0,3,1,1
1089,2,0,1,0
1090,2,0,0,1
1091,2,1,1,0
1092,2,3,1,1
1093,2,3,1,1
1094,3,0,0,1
1095,3,1,0,1
1096,3,1,1,0
1097,1,0,0,1
1098,3,2,1,1
1099,3,2,0,1
1100,0,1,0,0
1101,0,2,1,0
1102,0,1,1,1
1103,3,0,1,0
1104,3,2,0,1
1105,0,1,1,1
1106,3,0,0,1
1107,0,3,0,0
1108,1,3,0,0
1109,0,3,1,1
1110,3,1,1,1
1111,3,2,1,0
1112,0,3,1,1
1113,2,1,1,0
1114,3,0,0,1
1115,1,2,0,1
1116,2,0,1,0
1117,0,3,0,0
1118,1,3,1,1
1119,3,2,1,1
1120,1,3,1,1
1121,0,3,1,1
1122,0,3,0,0
1123,3,2,0,1
1124,3,2,1,1
1125,0,1,1,0
1126,0,1,0,0
1127,2,1,0,0
1128,1,2,0,1
1129,2,3,1,1
1130,0,1,1,1
1131,1,2,1,1
1132,3,2,0,1
1133,3,1,0,0
1134,2,1,0,1
1135,1,3,1,1
1136,2,3,1,0
1137,1,3,1,1
1138,2,3,1,1
1139,2,3,0,1
1140,0,1,0,0
1141,2,3,1,1
1142,2,3,1,1
1143,1,3,1,0
1144,2,0,1,1
1145,1,2,1,0
1146,2,1,0,0
1147,0,2,0,0
1148,3,0,0,1
1149,2,3,0,1
1150,1,3,1,1
1151,0,3,0,1
1152,1,2,1,0
1153,0,3,0,0
1154,2,3,0,1
1155,3,1,1,0
1156,0,3,1,1
1157,3,0,0,1
1158,2,0,0,0
1159,3,1,0,1
1160,2,0,0,0
1161,0,2,0,0
1162,3,2,0,0
1163,3,0,1,0
1164,3,0,0,1
1165,1,3,1,0
1166,2,1,0,0
1167,2,1,1,1
1168,0,1,1,1
1169,0,3,1,1
1170,3,2,0,0
1171,1,3,1,0
1172,0,2,0,0
1173,0,3,0,0
1174,2,0,0,1
1175,3,2,1,1
1176,2,1,0,0
1177,0,3,1,1
1178,1,0,0,0
1179,3,1,0,1
1180,3,2,0,1
1181,2,3,1,1
1182,3,2,1,1
1183,0,2,1,0
1184,2,0,1,0
1185,2,0,0,1
1186,1,3,0,1
1187,2,3,1,1
1188,0,1,1,0
1189,2,0,0,0
1190,3,0,0,1
1191,1,2,1,0
1192,0,2,1,1
1193,1,3,1,0
1194,3,2,1,0
1195,3,0,1,0
1196,2,0,0,0
1197,1,2,0,0
1198,2,1,1,0
1199,3,1,0,1
1200,3,2,1,0
1201,1,0,0,0
1202,2,0,0,1
1203,2,3,0,1
1204,3,2,1,1
1205,1,2,1,1
1206,2,3,0,1
1207,0,2,1,0
1208,3,1,0,1
1209,2,1,0,0
1210,2,0,1,0
1211,2,1,1,0
1212,1,3,1,1
1213,0,3,0,0
1214,1,2,0,0
1215,2,1,0,0
1216,3,2,0,1
1217,1,3,1,1
1218,0,2,1,1
1219,2,1,0,0
1220,2,1,1,0
1221,2,3,1,1
1222,0,3,1,1
1223,2,3,1,1
1224,0,2,0,0
1225,3,2,0,1
1226,2,0,1,0
1227,1,3,1,0
1228,1,0,1,0
1229,1,3,0,1
1230,3,1,0,1
1231,1,2,1,0
1232,1,0,0,0
1233,3,2,1,1
1234,1,3,1,1
1235,1,0,1,0
1236,0,2,0,0
1237,3,2,0,1
1238,3,0,1,1
1239,2,0,1,0
1240,0,2,1,1
1241,2,1,0,1
1242,1,0,0,0
1243,3,1,0,0
1244,1,3,1,1
1245,0,1,0,0
1246,2,3,1,1
1247,1,0,0,0
1248,3,2,0,1
1249,0,3,0,0
1250,0,3,0,0
1251,1,0,0,0
1252,1,0,1,0
1253,3,0,1,0
1254,0,2,0,1
1255,0,3,1,1
1256,3,0,0,1
1257,2,3,0,1
1258,0,1,0,0
1259,0,2,1,0
1260,2,1,1,1
1261,2,1,1,1
1262,3,1,0,0
1263,2,1,0,0
1264,0,3,1,1
1265,1,0,0,0
1266,0,2,1,1
1267,0,2,1,0
1268,3,2,0,0
1269,1,0,0,0
1270,1,2,1,0
1271,3,2,0,1
1272,3,0,0,1
1273,1,3,1,0
1274,0,2,1,0
1275,1,0,0,1
1276,0,3,1,0
1277,3,1,0,1
1278,3,0,0,0
1279,0,2,1,1
1280,1,0,1,0
1281,2,1,0,1
1282,0,2,1,1
1283,2,3,1,1
1284,2,3,1,1
1285,1,3,1,1
1286,1,0,0,0
1287,3,1,0,0
1288,3,1,0,1
1289,1,3,1,1
1290,1,0,0,1
1291,0,3,0,0
1292,3,1,0,1
1293,3,0,1,0
1294,0,3,1,1
1295,2,1,0,0
1296,1,2,0,1
1297,2,0,1,0
1298,3,2,0,1
1299,0,1,1,0
1300,1,0,1,0
1301,1,2,1,0
1302,1,3,0,0
1303,0,2,0,0
1304,3,1,0,1
1305,2,3,0,1
1306,1,2,1,0
1307,3,2,0,1
1308,0,1,0,0
1309,3,0,0,0
1310,2,0,0,1
1311,0,2,0,0
1312,2,0,0,1
1313,2,0,0,0
1314,0,2,1,0
1315,3,1,1,1
1316,2,3,0,1
1317,3,2,1,1
1318,0,3,0,0
1319,3,1,0,0
1320,2,3,0,1
1321,3,2,1,0
1322,1,3,0,0
1323,2,3,1,1
1324,3,0,0,1
1325,0,2,1,1
1326,2,3,1,1
1327,1,0,0,0
1328,1,2,1,1
1329,2,3,1,1
1330,3,0,1,0
1331,1,2,1,1
1332,3,0,1,0
1333,1,3,1,1
1334,0,3,1,1
1335,0,2,1,0
1336,3,0,0,1
1337,2,1,1,1
1338,0,3,1,0
1339,2,1,0,1
1340,2,0,0,1
1341,3,2,1,1
1342,3,1,1,0
1343,1,2,0,0
1344,0,2,1,1
1345,3,0,0,1
1346,3,0,0,1
1347,2,1,0,0
1348,3,1,1,0
1349,1,3,1,1
1350,3,0,0,1
1351,3,2,1,1
1352,2,3,0,0
1353,1,0,0,0
1354,1,2,1,1
1355,3,1,0,1
1356,1,3,1,1
1357,3,0,0,1
1358,1,3,1,1
